Date, Number, Problem, Remark
2018-09-16, 111, Minimum Depth of Binary Tree, 1
2018-09-16, 279, Perfect Squares, 2
2018-09-16, 733, Flood Fill, 1 
2018-09-16, 200, Number of Islands, 1 
2018-09-16, 130, Surrounded Regions, 1 
2018-09-16, 543, Diameter of Binary Tree, 3 
2018-09-16, 127, Word Ladder, 4 
2018-09-16, 542, 01 Matrix, 2
2018-09-16, 207, Course Schedule, 3 
2018-09-16, 210, Course Schedule II, 3 
,,,
2018-09-22, 231, Power of Two, 3 
2018-09-22, 762, Prime Number of Set Bits in Binary Representation, 2
2018-09-22, 136, Single Number, 1 
2018-09-22, 476, Number Complement, 
2018-09-22, 137, Single Number II, 4 
2018-09-22, 260, Single Number III, 3 
2018-09-22, 371, Sum of Two Integers, 2
2018-09-22, 201, Bitwise AND of Numbers Range, 3 
2018-09-22, 421, Maximum XOR of Two Numbers in an Array, 4 
2018-09-22, 477, Total Hamming Distance, 3 
,,, 
2018-09-30, 860, Lemonade Change, 1 
2018-09-30, 392, Is Subsequence, 2
2018-09-30, 455, Assign Cookies, 2
2018-09-30, 55, Jump Game, 3 
2018-09-30, 45, Jump Game II, 4 
2018-10-02, 376, Wiggle Subsequence, 4 
2018-10-02, 406, Queue Reconstruction by Height, 4 
2018-10-02, 452, Minimum Number of Arrows to Burst Balloons, 4 
2018-10-04, 402, Remove K Digits, 4 
2018-10-04, 134, Gas Station, ?
,,, 
2018-10-05, 658, Find K Closest Elements, 3 
2018-10-05, 222, Count Complete Tree Nodes, 3 
2018-10-05, 69, Sqrt(x), 4 
2018-10-05, 34, Find First and Last Position of Element in Sorted Array, 2
2018-10-05, 240, Search a 2D Matrix II, 1 
2018-10-05, 153, Find Minimum in Rotated Sorted Array, ? 
2018-10-05, 162, Find Peak Element, ? 
2018-10-06, 155, Min Stack, 2
2018-10-06, 496, Next Greater Element I, 3 
2018-10-06, 42, Trapping Rain Water, 4 
,,,
2018-10-06, 84, Largest Rectangle in Histogram, 4 
2018-10-06, 475, Heaters, 2
2018-10-07, 15, 3Sum, 3 
2018-10-07, 16, 3Sum Closest, 2
2018-10-07, 4, Median of Two Sorted Arrays, 3 
2018-10-07, 113, Path Sum II, 1 
2018-10-08, 79, Word Search, 1 
2018-10-18, 236, Lowest Common Ancestor of a Binary Tree, 3 
2018-10-20, 681, Next Closing Time, 2
2018-10-20, 547, Friend Circles, 2
,,,
2018-10-20, 683, K Empty Slots, 3
2018-10-20, 687, Longest Univalue Path, 1
2018-10-21, 904, Fruit Into Baskets, 4